hip,name,ra_deg,dec_deg,dist_pc,spec_type,gal_lat,exoplanet,bl_paper
12413,HIP12413,39.950000,-42.891667,39.7000,A2V,-62.9809,0,E17
12444,HIP12444,40.051667,-9.452778,21.5000,F6V,-58.8443,0,E17
12447,HIP12447,40.065417,6.111667,39.6000,F3V:,-47.6023,0,E17
12493,HIP12493,40.178750,1.198611,22.3000,M0,-51.3531,1,E17
12530,HIP12530,40.308333,-0.695556,21.6000,F7IV,-52.6810,0,E17
12653,HIP12653,40.639583,-50.800278,17.2000,G3IV,-58.3236,1,E17
12706,HIP12706,40.825000,3.235556,25.1000,A3V,-49.3827,0,E17
12709,HIP12709,40.837083,19.429167,18.5000,K5,-36.1243,0,E17
12723,HIP12723,40.892500,-46.454722,27.4000,K5V,-60.6583,0,E17
12777,HIP12777,41.050000,49.228333,11.2000,F7V,-9.6098,0,E17
12781,HIP12781,41.064583,25.523333,7.5500,M3.5Ve,-30.7503,0,E17
12828,HIP12828,41.235417,10.113889,25.8000,F1III-I,-43.6945,0,E17
12832,HIP12832,41.240000,12.445556,38.2000,A7III-I,-41.7860,0,E17
12843,HIP12843,41.275833,-18.572500,13.9000,F5/F6V,-62.5264,0,E17
12929,HIP12929,41.572083,11.775000,15.9000,K5,-42.1503,0,E17
12961,HIP12961,41.678750,-23.086389,23.8000,M0,-63.6515,1,E17
13008,HIP13008,41.796250,-22.485556,38.1000,F2V,-63.3873,0,E17
13081,HIP13081,42.037917,27.068611,22.3000,K1V,-28.9757,0,E17
13218,HIP13218,42.540417,-53.138889,13.0000,M,-55.9619,0,E17
13258,HIP13258,42.653750,15.709722,22.4000,K5,-38.3184,0,E17
13375,HIP13375,43.029583,34.389167,14.2000,K6:,-22.1729,0,E17
13389,HIP13389,43.092500,-63.679722,11.5000,M,-48.5600,0,E17
13402,HIP13402,43.133750,-12.769444,10.3000,K1V,-58.2540,0,E17
SO0253,NAME SO J025300.5+165258,43.253750,16.881389,3.8500,M6.5V,-37.0260,0,E17
13601,HIP13601,43.822500,16.309167,26.1000,G5,-37.1861,0,E17
13642,HIP13642,43.912917,26.873056,22.8000,K2,-28.2938,1,E17
13665,HIP13665,43.987083,61.521111,26.4000,F4V,2.1509,0,E17
13769,HIP13769,44.305000,-24.975000,25.7000,K2V,-61.7401,0,E17
13772,HIP13772,44.311250,-24.969444,22.4000,K1/K2V,-61.7335,0,E17
13782,HIP13782,44.349167,-23.861944,48.6000,A5IV/V,-61.4636,0,E17
13834,HIP13834,44.521667,20.668611,31.8000,F5IV,-33.2175,0,E17
13976,HIP13976,45.011667,7.749722,23.4000,G5,-43.2456,0,E17
14146,HIP14146,45.597917,-23.624444,26.4000,A4V,-60.2967,0,E17
14150,HIP14150,45.608333,26.609167,21.1000,G8V,-27.7106,0,E17
14286,HIP14286,46.040000,61.705833,22.8000,G4V,2.7762,0,E17
14293,HIP14293,46.068750,-7.600833,43.0000,A8V,-52.9778,0,E17
14445,HIP14445,46.611250,1.965000,14.7000,M0V,-46.3784,0,E17
14576,HIP14576,47.042083,40.955556,28.4000,B8V,-14.9004,0,E17
