hip,name,ra_deg,dec_deg,dist_pc,spec_type,gal_lat,exoplanet,bl_paper,object_type
102890,HIP102890,312.6732054855,-9.47985636693,,,,,,Star
102894,HIP102894,312.67584412445,-4.79089889272,,,,,,Star
102933,HIP102933,312.81572582885,72.94803450315,,,,,,SB*
102935,HIP102935,312.8293547765699,-13.92442279095,,,,,,EclBin
102936,HIP102936,312.83195353875,-4.28657418408,,,,,,Star
102938,HIP102938,312.83634232772,16.91242499112,,,,,,Star
102969,HIP102969,312.93112167245,73.08033095339,,,,,,Star
102974,HIP102974,312.9451711818,9.66599253369,,,,,,Star
103077,HIP103077,313.27332539011,-11.57365407053,,,,,,**
103084,HIP103084,313.30562521275,40.32836589778,,,,,,Star
103086,HIP103086,313.30787061948,42.36307897154,,,,,,SB*
10309,HIP10309,33.2079513062,79.6915377592,,,,,,Star
10310,HIP10310,33.2103647615,11.85721416575,,,,,,HighPM*
103104,HIP103104,313.3563547622299,48.26749115094,,,,,,Star
103125,HIP103125,313.41612906556,-11.65467216191,,,,,,Star
103126,HIP103126,313.41617701033,41.04956877173,,,,,,alf2CVnV*
103146,HIP103146,313.47701712353,58.89542269605,,,,,,Star
103150,HIP103150,313.4874121615466,-2.7659213411514,,,,,,HighPM*
103159,HIP103159,313.5059799331,48.43753675167,,,,,,Star
103163,HIP103163,313.5185209034499,40.90123535466,,,,,,SB*
103164,HIP103164,313.52018327898,-4.54217037851,,,,,,SB*
103196,HIP103196,313.60843242975,48.92981400663,,,,,,Star
1031,HIP1031,3.20937200829,-57.91260959261,,,,,,HighPM*
103237,HIP103237,313.72565215479,-1.3757599856,,,,,,Star
103240,HIP103240,313.73343675174,-15.2831278527,,,,,,Star
103261,HIP103261,313.78446798423,-1.37302846513,,,,,,delSctV*
103266,HIP103266,313.81383012763,-1.97299876256,,,,,,Star
103271,HIP103271,313.82337728879,9.72116056373,,,,,,HighPM*
103283,HIP103283,313.8710532372,-14.6156026791,,,,,,Star
10330,HIP10330,33.27125421555,16.08548541534,,,,,,Star
